Domestic Violence Victim Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current date: 6/12/2025 9:43:27 AM (Mountain Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measures: Number of Victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Colorado_SS, Victim Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victim to Offender Relationship: Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type: Domestic Violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incident Date,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction by Geography,Adams County,Alamosa County,Arapahoe County,Archuleta County,Baca County,Bent County,Boulder County,Chaffee County,Cheyenne County,Clear Creek County,Conejos County,Costilla County,Crowley County,Custer County,Delta County,Denver County,Dolores County,Douglas County,Eagle County,Elbert County,El Paso County,Fremont County,Garfield County,Gilpin County,Grand County,Gunnison County,Hinsdale County,Huerfano County,Jackson County,Jefferson County,Kiowa County,Kit Carson County,Lake County,La Plata County,Larimer County,Las Animas County,Lincoln County,Logan County,Mesa County,Mineral County,Moffat County,Montezuma County,Montrose County,Morgan County,Otero County,Ouray County,Park County,Phillips County,Pitkin County,Prowers County,Pueblo County,Rio Blanco County,Rio Grande County,Routt County,Saguache County,San Juan County,San Miguel County,Sedgwick County,Summit County,Teller County,Washington County,Weld County,Yuma County,Broomfield County,Colorado Bureau of Investigation,Colorado State Patrol
Type of Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Types of Injury,"4,791",96,740,56,6,9,864,39,1,52,24,,28,15,141,"3,108",3,543,146,25,"2,710",176,239,36,22,53,,9,8,"1,688",,19,24,185,866,59,6,111,681,,53,112,154,71,28,9,39,5,17,21,769,9,58,84,11,2,11,,112,90,21,985,15,141,,5
Apparent Minor Injury,"2,540",31,530,34,4,5,395,32,1,34,,,14,4,59,"1,833",3,236,89,8,"1,655",107,125,31,15,26,,8,3,950,,17,15,102,521,37,6,19,447,,39,89,88,38,16,7,18,1,14,18,509,7,32,42,9,2,11,,78,36,16,596,12,67,,2
None,"1,647",22,127,16,,3,355,1,,14,22,,1,3,31,614,,263,42,6,668,38,91,3,5,19,,1,5,520,,2,6,20,249,11,,85,153,,3,16,39,18,8,,6,1,3,2,147,,7,22,1,,,,21,37,1,263,2,54,,1
Other Major Injury,99,2,18,,,,16,2,,1,1,,,,1,163,,4,,1,141,1,2,1,,1,,,,40,,,1,1,5,,,1,10,,2,,2,5,,,9,,,,17,1,3,,,,,,4,2,,14,,4,,
Possible Internal Injury,83,1,7,,,1,18,1,,2,,,1,,,352,,9,2,,49,7,2,,,,,,,70,,,1,2,12,1,,1,1,,,3,1,,,1,6,,,,35,,1,,,,,,3,,,4,,1,,
Unconsciousness,81,2,9,1,,,16,,,,,,,1,,139,,16,,,50,3,,,1,,,,,43,,,,,13,,,,28,,3,2,,3,,1,4,,,1,8,,1,,,,,,,1,,15,,1,,
Apparent Broken Bones,58,1,7,,,,7,,,1,,,1,,,70,,3,,1,29,1,,,,,,,,14,,,1,1,5,,,,11,,1,1,1,1,1,1,1,1,,,10,,,1,,,,,3,,,13,,2,,
Severe Laceration,45,,9,1,,,8,,,,1,,1,,2,76,,2,1,,27,2,2,,,1,,,,18,,,,,9,,,,7,,,3,2,1,,,1,,,,7,,2,1,,,,,1,1,,12,1,,,
Loss of Teeth,12,,,,,,1,,,,,,,,,13,,,,,4,,,,,,,,,2,,,,,2,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,2,,,,
